[LBR] TSC: 30388251732294 | 0x00005618a44665bd -> 0x80005618a44661e9
[LBR] TSC: 30388553083991 | 0x00005618a44665bd -> 0x80005618a44661e9
[LBR] TSC: 30388801166600 | 0x00005618a44665bd -> 0x80005618a44661e9
[LBR] TSC: 30389068722920 | 0x00005618a44665bd -> 0x80005618a44661e9
[LBR] TSC: 30389445152015 | 0x00005618a44665bd -> 0x80005618a44661e9
[LBR] TSC: 30389824607622 | 0x00005618a44665bd -> 0x80005618a44661e9
[LBR] TSC: 30390250407382 | 0x00005618a44665bd -> 0x80005618a44661e9
[LBR] TSC: 30390531448760 | 0x00005618a44665bd -> 0x80005618a44661e9
[LBR] TSC: 30390960593490 | 0x80005618a4466040 -> 0x80007ff784b061b0
